"","Observations","sex","initial_diet","new_diet","ZStationary_back_butters","Zstationary_front_percent_butters","Zstationary_middle_percent_butters","Zmovement_percent_butters","Zlocomotion_percent_butters","Zself_groom_percent_butters","Zmouth_butters_percent","Ztouch_butters_percent","Zhanging_behaviors_butters","Zcrouching_butters","Zoral_exploration_butters","Ztactile_exploration_butters","Zstereotypy_butters","Zmo_manip_apple_butters","Zvigilant_percent_butters","Znonvigilant_percent_butters","Zstation_back_ffostare","Zstation_fr_ffostare","Zstation_mid_ffosta","Zlocomote_ffosta","Zmovement_ffosta","Ztac_expl_ffosta","Zself_gro_ffosta","Zstereo_ffosta","Zcrouching_ffosta","Zteethgrind_ffosta","Zlipsmack_ffosta","Zthreat_stranger_ffosta","Zno_response_ffosta","Ztouch_app_ffosta","Zmouth_app_ffosta","Zmanip_app_ffosta","Zeat_app_ffosta","Znonvigi_ffosta","Zvigi_ffosta","Zdir_eye_contact_ffosta","Zfreeze_back_ffosta","comp_1","comp_2","comp_3","comp_4","comp_2.2","comp_3.2"
"24",31267,1,2,1,0.628670906,-0.204704536,0.98895852,-0.536876823,-0.098746554,-0.263331096,-0.309798599,0.235308316,-0.399129336,-0.130516591,0.29181313,-0.486843501,-0.520722991,-0.28348673,-0.246116368,0.873868248,-1.523725475,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,2.372041816,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,0.763905968,-6.558558029,-1.357959562,4.647952127,-0.281316566,-1.7405141,5.030506665
"25",31347,1,1,2,0.722593432,-0.775037049,-0.559409469,-0.536876823,0.72008942,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.542425403,-0.486843501,-0.520722991,-0.28348673,0.430770923,-0.383451345,0.961285077,-0.456782505,-0.275842921,-0.3637805,-0.141129235,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.701816349,-0.219872509,0.970130561,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-6.225116038,0.792128601,-1.013789622,-1.115555098,-0.361235753,0.139574732
"26",31479,2,2,2,-1.123406431,-0.458153711,-0.086173948,-0.536876823,-0.030191616,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.255968465,0.256993293,0.460410896,2.033149558,-0.28348673,-3.95503511,-0.383451345,0.982182682,-0.456782505,-0.275842921,-0.521489245,-0.172264264,-0.142857143,-0.240099093,-0.20935948,-0.486368186,0.105005332,-0.471028859,-0.219872509,-1.328644867,-0.211481367,0.610601607,5.257846556,-0.564144738,4.390668637,-1.579311739,-0.727419113,-0.341826237,6.272881762,-2.86490714,-5.58790729,-0.316136402,2.213534401,-10.66634883
"27",31480,1,2,2,1.234202092,-0.741017378,-0.559409469,-0.536876823,-0.821290951,-0.263331096,-0.309798599,-0.559132153,1.213511281,-0.255968465,0.980682671,-0.486843501,-0.327848168,-0.28348673,0.225621429,-0.002387398,-1.106546331,4.933996787,-0.275842921,-0.539857063,1.789410177,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,2.00891792,-0.219872509,-0.867860561,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-1.332360535,1.648123828,-0.341826237,6.208519503,-0.776368817,-4.781971499,0.407552976,-2.236192338,-3.322147979
"28",31508,1,1,2,0.402622281,0.078923812,0.950094526,-0.536876823,-0.198558846,-0.263331096,0.116325746,1.6532085,-0.399129336,-0.255968465,-0.054871313,-0.486843501,-0.302187885,-0.28348673,0.430770923,-0.383451345,0.196612065,-0.456782505,-0.275842921,0.124295385,0.01401352,-0.142857143,-0.240099093,-0.20935948,0.021402625,-0.200362681,1.461573555,-0.219872509,-0.496737989,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-1.302768354,1.616498612,-0.341826237,-0.352878097,-0.073980456,-1.222268039,-0.201876663,-0.907373659,-0.388874836
"29",31700,1,2,2,-0.860629365,-0.438839401,0.959441683,-0.536876823,0.862540881,-0.263331096,-0.309798599,1.022097087,-0.399129336,-0.255968465,-0.523897468,-0.486843501,1.174228068,-0.28348673,0.430770923,-0.383451345,0.808256948,-0.456782505,-0.275842921,-0.028219071,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.784091784,-0.219872509,-1.286047494,-0.211481367,2.438255657,0.211621109,1.750890843,-0.383712716,1.012913839,-0.858275057,-0.341826237,0.809417197,0.750828735,-1.35254079,-1.097027163,1.180687178,-1.782399232
"30",33215,2,1,1,0.517752072,-0.416723688,-0.559409469,-0.536876823,-0.553281964,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.587352254,-0.486843501,1.241452989,-0.28348673,0.430770923,-0.383451345,-1.523725475,0.549584738,1.892619958,2.062843902,-0.692888684,-0.142857143,-0.240099093,6.37874571,-0.42597913,-0.200362681,-0.525327989,-0.219872509,-1.069194293,-0.211481367,2.776526157,0.06074701,1.395374766,-0.383712716,0.919985483,-0.758960771,-0.341826237,9.91869989,-0.13554733,-2.727340415,-1.16048195,-1.084070325,-1.77881742
"31",33335,2,1,1,0.871654199,-0.775037049,0.467264368,-0.536876823,-0.951016125,2.408244044,-0.309798599,-0.559132153,2.48991067,-0.255968465,-0.321977068,-0.385397531,-0.520722991,-0.28348673,0.430770923,-0.383451345,-0.443723358,-0.456782505,0.313490571,1.088352255,-0.377718485,-0.142857143,-0.240099093,1.561517895,-0.486368186,1.782332544,0.888120329,-0.219872509,-0.181824792,0.673977466,0.156007226,-0.319695899,-0.564144738,-0.383712716,0.223391478,-0.014511109,-0.341826237,5.541650342,-0.463819065,-2.955267335,1.776468377,-1.766244187,-1.652842213
"32",33336,1,2,1,-0.62527316,0.341182282,0.733572678,3.863754769,0.067717289,-0.090151481,-0.309798599,-0.559132153,-0.399129336,2.929965374,0.417471762,0.658701644,-0.520722991,-0.28348673,0.430770923,-0.383451345,-1.523725475,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,2.372041816,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-5.501934884,-3.040748542,10.60319244,0.017521682,-2.846246304,10.4086902
"33",33337,2,2,1,0.531439307,-0.473270437,-0.559409469,0.025872208,0.368716484,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.196541801,0.943206622,0.211880097,-0.520722991,-0.28348673,0.430770923,-0.383451345,0.014175446,-0.044774029,-0.275842921,0.402750264,1.4160856,-0.142857143,-0.240099093,-0.20935948,-0.190211184,-0.200362681,1.998467192,-0.219872509,-1.35213511,-0.211481367,0.031283726,3.18257844,0.425967061,-0.383712716,-0.420085056,0.673173405,-0.341826237,6.000486398,-0.346135154,-3.54895488,0.370076927,-1.308345383,-2.586744651
"34",33401,2,1,1,0.543348726,-0.030594303,3.213658048,-0.022479926,-0.314874494,-0.263331096,1.913304765,0.976082475,-0.399129336,-0.255968465,-0.098523764,-0.486843501,-0.520722991,-0.28348673,0.430770923,-0.383451345,0.125295582,0.334915048,0.104155293,0.343626558,1.586919108,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,2.529594774,-0.219872509,0.796120944,-0.211481367,0.616430883,0.188188739,-0.564144738,-0.383712716,0.051420328,0.169274764,-0.341826237,5.890511031,-0.223105599,0.644761521,1.551449905,-1.197225248,1.618881169
"35",33464,1,2,1,-0.761269578,0.617312075,-0.559409469,0.804119535,0.918052667,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.208137981,1.140178722,2.156319961,-0.520722991,-0.28348673,0.430770923,-0.383451345,-1.403329465,-0.456782505,-0.275842921,-0.792719623,0.6073685,-0.142857143,-0.240099093,-0.20935948,2.171538646,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,0.345936758,-0.145475467,-0.341826237,-2.433906562,-3.05634895,3.814103394,0.567049027,-2.725850294,3.483604739
"36",33499,1,2,1,-1.0965825,-0.659689962,-0.559409469,-0.536876823,-0.352782701,-0.090366839,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.535584017,-0.486843501,3.669565058,-0.28348673,0.430770923,-0.383451345,1.070807015,-0.287129381,-0.275842921,-0.624251208,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.303793283,6.546838632,0.22967654,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-0.517665026,0.777457292,4.050339594,-5.906809775,14.43163963,-3.169475421,-0.935749456,15.09745121,-3.835286998
"37",33500,2,2,1,-0.545599114,0.564957882,-0.150428514,-0.536876823,0.69170915,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.299458811,-0.486843501,-0.169571593,-0.28348673,0.430770923,-0.383451345,0.924771346,-0.456782505,-0.275842921,-0.555400763,-0.692888684,-0.142857143,5.380889546,-0.20935948,-0.486368186,-0.200362681,1.351655369,-0.219872509,-0.422208821,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-4.534423347,5.459562361,-1.066134073,-0.872588506,5.574390553,-1.180962264
"38",33573,1,1,1,1.936530155,-0.775037049,-0.559409469,-0.536876823,-1.484104205,0.918512413,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.661003815,-0.486843501,-0.520722991,-0.28348673,0.430770923,-0.383451345,1.227045293,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-9.492283669,2.271825541,-0.958002324,-0.052290001,-0.095475536,1.409298753
"39",33657,2,1,1,1.50570181,-0.656594546,-0.559409469,-0.096414113,-1.01227713,0.2389014,-0.309798599,-0.559132153,-0.399129336,0.525808383,-0.661003815,-0.486843501,-0.520722991,-0.28348673,0.430770923,-0.383451345,0.462985703,-0.207941383,-0.275842921,-0.248268325,1.692145253,-0.142857143,-0.240099093,-0.20935948,-0.2381007,0.598472789,0.659225861,0.029595448,-0.021318953,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-1.811105611,2.159759542,-0.341826237,-0.581942522,1.326405562,-3.240309039,-0.731901015,-0.61006717,-1.303836307
"40",34471,1,2,1,-1.143158678,1.066345899,-0.559409469,-0.536876823,-0.287830996,0.386012045,-0.309798599,0.010897162,-0.399129336,-0.255968465,-0.537078034,-0.313720384,2.399279126,-0.28348673,0.077515813,0.272720777,-0.642928675,0.499087959,6.168396892,0.225318888,0.075317386,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,0.798672639,-0.219872509,-1.425135599,-0.211481367,-0.38709583,2.583559378,0.648957877,-0.383712716,0.375613064,-0.177190588,-0.341826237,7.443674299,-0.111090253,-0.978772172,-0.460864588,0.954552612,-2.044415037
"41",34551,1,2,1,1.443101932,-0.658176681,-0.559409469,-0.536876823,-0.63540816,-0.263331096,-0.309798599,2.099238528,-0.399129336,-0.255968465,-0.507796731,-0.486843501,-0.520722991,-0.28348673,0.12188929,0.190300302,1.145820534,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,2.410130974,-0.20935948,-0.486368186,-0.200362681,2.10965431,-0.219872509,-0.936164084,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,0.886325614,-0.722989468,-0.341826237,-5.614555941,4.038520993,0.302310204,-1.080926427,2.473529771,1.867301426
"42",34655,2,1,1,-0.952521677,1.876777945,-0.559409469,-0.536876823,-0.35322279,-0.263331096,-0.309798599,0.776879191,-0.399129336,-0.255968465,-0.661003815,-0.486843501,0.949332005,-0.28348673,0.430770923,-0.383451345,-1.523725475,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,2.372041816,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-8.361402255,-1.897942064,5.888234016,-1.23413351,-1.376191309,5.366483262
"43",34685,1,1,1,-0.475764694,0.662941691,4.264275646,1.900750587,-0.108824603,-0.263331096,-0.309798599,0.44482602,3.931493128,-0.255968465,-0.215412427,2.385511864,-0.520722991,-0.28348673,-0.974344051,2.226552729,-0.221348298,2.692020057,-0.275842921,-0.355627013,-0.298974861,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.272772301,-0.219872509,-1.448833905,1.132349734,3.879617762,-0.178381738,1.680232011,2.619337235,-0.540561852,-0.858275057,-0.341826237,19.40007291,-2.993977873,2.503338619,-0.788542122,-1.543869127,1.053229874
"44",34686,1,2,1,-0.658318473,2.304346399,-0.559409469,-0.536876823,-0.449684902,-0.263331096,-0.309798599,-0.559132153,1.59971472,-0.255968465,-0.661003815,-0.486843501,-0.520722991,-0.28348673,-0.144762185,0.685602636,1.227045293,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,0.093265058,0.124555227,-0.341826237,-5.476190026,-0.898556195,2.270786324,-1.23413351,-0.095475536,1.467705666
"45",34699,2,1,1,-0.817870949,3.446308091,-0.559409469,0.659449728,-1.380872968,-0.263331096,-0.309798599,-0.559132153,-0.399129336,0.045087949,-0.661003815,-0.486843501,-0.520722991,-0.28348673,0.346608416,-0.227115119,-1.523725475,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,2.372041816,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-9.389052432,-3.317508838,7.775472009,-1.23413351,-2.846246304,7.304209476
"46",34816,1,1,1,-1.165669134,-0.718204831,-0.110005391,1.351443743,2.693357096,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.171297004,1.373941039,4.73469429,-0.520722991,-0.28348673,0.430770923,-0.383451345,-1.215850958,2.106417956,-0.275842921,0.368016217,1.539955298,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.283841532,-0.219872509,0.686727082,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-0.959553487,1.249704274,-0.341826237,8.921129367,-3.27327,-1.239836182,0.800811343,-2.538371788,-1.974734393
"47",34850,1,2,1,-0.388762024,-0.429958739,0.847980167,-0.536876823,0.037334612,-0.263331096,0.273451476,-0.230493918,1.85589125,-0.255968465,1.187378118,-0.398644819,-0.520722991,-0.28348673,-3.001220144,-0.383451345,-0.68598649,1.350308956,1.78167072,0.90745601,-0.692888684,6.857142857,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.2694643,-0.219872509,-1.22245176,-0.211481367,-0.38709583,-0.04581766,1.860487018,0.519005474,-0.410653167,0.164039152,-0.341826237,13.48271467,-5.398489488,-3.956222404,1.197498498,-2.008507319,-7.346204573
"48",34886,1,2,1,-1.176227673,-0.775037049,-0.559409469,-0.536876823,-0.453926264,-0.263331096,-0.309798599,0.095698172,-0.399129336,-0.255968465,-0.661003815,-0.486843501,-0.520722991,3.946401164,0.321263102,-0.180039496,-0.163928709,0.0542989,0.217155824,0.48127221,-0.0625473,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,1.336907034,-0.219872509,-0.674043058,6.550191673,1.200436623,0.079819975,-0.564144738,1.067461211,-0.868129482,0.349734173,-0.341826237,12.20509888,-2.341414109,-3.680764388,-1.23413351,-1.486449538,-4.535728959
"49",34931,1,2,1,0.729175892,-0.14680684,0.938629505,-0.047807131,-0.309384378,-0.263331096,-0.309798599,-0.559132153,0.677277584,-0.255968465,-0.583424545,0.225047744,-0.520722991,-0.28348673,-2.743949639,-0.383451345,0.129773837,-0.352899976,0.013073574,1.025075729,-0.306201086,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,0.193208824,-0.219872509,-1.328339131,-0.211481367,-0.38709583,-0.166372038,2.037622736,-0.383712716,0.377453915,-0.179157909,-0.341826237,1.977564361,-3.20752074,-2.830419337,-1.15655424,-1.192746993,-4.845193084
